在外间,25
薛家,25
买了,25
胭脂,25
把个,25
贾珍等,25
此处,25
拿起,25
那里来的,25
了一会,25
管事的,25
一会,25
惊动,25
就好,25
芙蓉,25
送他,25
珍大,25
忙上来,25
多早晚,25
记挂着,25
们都,25
撒谎,25
也便,25
夜间,25
就知道了,25
拦住,25
铁槛寺,25
人去,25
我看,25
这些东西,25
含泪,25
故此,25
安心,25
改了,25
几两银子,25
下人,25
留神,25
焙茗,25
雀儿,25
盒子,25
柳湘莲,25
小燕,25
生得,24
既如此,24
为何,24
抱着,24
一口,24
并未,24
几乎,24
金银,24
若要,24
待我,24
比先,24
宁国府,24
山石,24
八九,24
男子,24
每每,24
来往,24
大红,24
家里的,24
便又,24
自有,24
胡乱,24
忙的,24
听他,24
歇着,24
跟我,24
念佛,24
头的,24
四姑娘,24
说我,24
要走,24
既这么,24
要去,24
早知,24
反不,24
安慰,24
断不,24
李贵,24
掌不住,24
怕人,24
的事情,24
走的,24
顽意儿,24
疑心,24
贾芹,24
按着,24
喝命,24
这几天,24
你若,24
贾妃,24
再来,24
我告诉你,24
不该,24
彩霞,24
的心事,24
贾芸道,24
干的,24
翠墨,24
张道士,24
王太医,24
懂得,24
不好意思,24
使了,24
金桂的,24
用了,23
的好处,23
携了,23
经过,23
以及,23
之情,23
归坐,23
孝顺,23
眼前,23
皇上,23
贾府,23
清净,23
标致,23
被人,23
岁的,23
止住,23
我先,23
垂手,23
一个小,23
打死,23
再不,23
在此,23
醉了,23
形景,23
此事,23
性情,23
几处,23
就在,23
薛宝钗,23
小丫头们,23
散去,23
一想,23
因向,23
为我,23
教训,23
请他,23
的呢,23
谁家,23
要紧的,23
论理,23
也是有的,23
你既,23
这么个,23
大夫来,23
捧了,23
同他,23
女人,23
笑话,23
啐道,23
比他,23
看戏,23
乐得,23
哄我,23
谁敢,23
谁的,23
就说,23
不拘,23
都要,23
很好,23
不去,23
坐坐,23
乏了,23
那边的,23
给人,23
分派,23
拌嘴,23
贾赦等,23
张家,23
希罕,23
道理,23
禁不住,23
几个钱,23
快去,23
的生日,23
马道婆,23
风声,23
不懂,23
没法,23
并非,22
在那,22
石头,22
不尽,22
方欲,22
半夜,22
无话,22
升了,22
像个,22
他父亲,22
异常,22
大约,22
还不知,22
现今,22
既有,22
路上,22
之言,22
瞧了一瞧,22
舍不得,22
之外,22
与众,22
歇歇,22
再去,22
玻璃,22
生的,22
合家,22
细看,22
珍珠,22
忙笑,22
王子腾,22
皆因,22
死活,22
其实,22
好不好,22
府中,22
有一,22
三更,22
托着,22
姥姥,22
还得,22
屋内,22
费心,22
想不到,22
不知是,22
小心,22
原要,22
口中,22
说完,22
一同,22
一碗,22
闷闷的,22
外边,22
闹出,22
他倒,22
好意思,22
说的是,22
疼我,22
闲了,22
百般,22
阴阳,22
带来,22
月的,22
使用,22
回到,22
花的,22
扶了,22
诧异,22
便走,22
之声,22
龄官,22
有理,22
且别,22
